celular,data_nascimento,idade,sexo,cidade_residencial,bairro_residencial,cidade_trabalho,nome_campanha,bairro_trabalho,cidade_escola,bairro_escola,categoria_frequentada
(11) 91409-5506,1969-10-12,56,Masculino,São Paulo,Sé,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 91520-1488,1981-02-19,44,Masculino,São Paulo,Ipiranga,,placeholder_campanha,,,,Postos de Combustível e Serviços Automotivos
(11) 98359-5557,1979-09-10,46,Masculino,São Paulo,Santana,,placeholder_campanha,,,,Restaurantes e Gastronomia
(11) 96514-2674,1957-03-05,68,Masculino,São Paulo,Penha,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 99785-3045,1969-10-30,56,Feminino,São Paulo,Tatuapé,,placeholder_campanha,,,,Clínicas de Saúde e Bem-estar
(11) 92139-1750,1981-05-20,44,Outro,São Paulo,Tatuapé,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 98428-6977,1954-06-09,71,Masculino,São Paulo,Tucuruvi,,placeholder_campanha,,,,Supermercados de Bairro e Mercadinhos
(11) 93803-9751,1998-11-12,26,Outro,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Lapa,,,Lanchonetes e Fast-Food
(11) 91525-6168,2009-07-10,16,Feminino,São Paulo,Tucuruvi,,placeholder_campanha,,,,Academias e Studios Fitness
(11) 99179-7482,1938-08-27,87,Outro,São Paulo,Limão,São Paulo,placeholder_campanha,Casa Verde,,,Restaurantes com comida caseira
(11) 97543-6930,1994-02-24,31,Masculino,Jesus das Flores,Higienópolis,São Paulo,placeholder_campanha,Bela Vista,,,Restaurantes e Gastronomia
(11) 97916-2040,2001-01-31,24,Feminino,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Pinheiros,,,Cafeterias e Bistrôs Modernos
(11) 99797-5371,2005-07-13,20,Outro,São Paulo,Tatuapé,São Paulo,placeholder_campanha,República,,,Lojas de Roupas e Sneakers
(11) 92743-5889,1988-10-30,37,Outro,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Santana,,,Lojas de Roupas e Calçados
(11) 96947-6038,1954-07-17,71,Masculino,São Paulo,Lapa,,placeholder_campanha,,São Paulo,Bela Vista,Produtos Naturais e Fitoterápicos
(11) 93103-8787,1952-09-22,73,Outro,São Paulo,Ipiranga,,placeholder_campanha,,,,Bancos e Casas Lotéricas
(31) 96107-7537,1975-11-22,49,Outro,São Paulo,Jabaquara,,placeholder_campanha,,,,"Bancos, Agências e Correspondentes"
(11) 96539-1344,1937-08-03,88,Outro,São Paulo,Lapa,São Paulo,placeholder_campanha,Bela Vista,São Paulo,Campo Limpo,Supermercados de Bairro e Mercadinhos
